_id,名称,产国,大类,类型
2753,9毫米VSS微声狙击步枪,苏/俄,枪械与单兵,狙击枪
2754,赫克勒·科赫PSG 1自动步枪,德国,枪械与单兵,狙击枪
2755,精准国际7.62毫米PM狙击步枪系统,英国,枪械与单兵,狙击枪
2756,M40A1狙击步枪,美国,枪械与单兵,狙击枪
2757,AW“隐蔽型”狙击步枪,英国,枪械与单兵,狙击枪
2758,帕克-黑尔M82步枪,英国,枪械与单兵,狙击枪
2759,7.62毫米精确射手步枪（DMR）,美国,枪械与单兵,狙击枪
2760,巴雷特M98B狙击步枪,美国,枪械与单兵,狙击枪
2761,W03型12.7mm狙击步枪,中国,枪械与单兵,狙击枪
2762,M99半自动狙击步枪,中国,枪械与单兵,狙击枪
2763,AMR-2型12.7毫米狙击步枪,中国,枪械与单兵,狙击枪
2764,97式5.56mm狙击步枪,中国,枪械与单兵,狙击枪
2765,JS 7.62mm狙击步枪,中国,枪械与单兵,狙击枪
2766,m40a5狙击步枪,美国,枪械与单兵,狙击枪
2767,M39增强型精确射手步枪,美国,枪械与单兵,狙击枪
2768,QBU88式狙击步枪,中国,枪械与单兵,狙击枪
2769,SV98狙击步枪,苏/俄,枪械与单兵,狙击枪
2770,国产JS05式12.7MM狙击步枪,中国,枪械与单兵,狙击枪
2771,Mk11式7.62毫米狙击步枪,美国,枪械与单兵,狙击枪
2772,V-94狙击枪,苏/俄,枪械与单兵,狙击枪
2773,雷明登SR8狙击步枪,美国,枪械与单兵,狙击枪
2774,斯泰尔SSG-04狙击枪,奥地利,枪械与单兵,狙击枪
2775,L115A3狙击枪,英国,枪械与单兵,狙击枪
2776,CB-98狙击枪,苏/俄,枪械与单兵,狙击枪
2777,M110 SASS半自动狙击步枪,美国,枪械与单兵,狙击枪
2778,FN30-11式狙击枪,比利时,枪械与单兵,狙击枪
2779,CZ-700狙击枪,捷克,枪械与单兵,狙击枪
2780,MK11-0型狙击步枪,美国,枪械与单兵,狙击枪
2781,W03型狙击步枪,中国,枪械与单兵,狙击枪
2782,85式狙击步枪,中国,枪械与单兵,狙击枪
2783,PSG-1半自动狙击步枪,德国,枪械与单兵,狙击枪
2784,SG-550狙击枪,瑞士,枪械与单兵,狙击枪
2785,M24狙击步枪,美国,枪械与单兵,狙击枪
2786,M82A1M狙击步枪,美国,枪械与单兵,狙击枪
2787,RSG-12式12号狙击枪,美国,枪械与单兵,狙击枪
2788,AWP狙击枪,英国,枪械与单兵,狙击枪
2789,M82A2狙击步枪,美国,枪械与单兵,狙击枪
2790,伯莱塔7.62毫米狙击枪,意大利,枪械与单兵,狙击枪
2791,奥卡德狙击步枪,伊拉克,枪械与单兵,狙击枪
2792,猎豹M1狙击枪,匈牙利,枪械与单兵,狙击枪
2793,巴雷特XM109狙击步枪,美国,枪械与单兵,狙击枪
2794,SSG-3000狙击枪,德国,枪械与单兵,狙击枪
2795,TCIM狙击枪,以色列,枪械与单兵,狙击枪
2796,MK12狙击步枪,美国,枪械与单兵,狙击枪
2797,M200狙击枪,美国,枪械与单兵,狙击枪
2798,M21狙击步枪,美国,枪械与单兵,狙击枪
2799,VSK-94狙击枪,苏/俄,枪械与单兵,狙击枪
2800,M40A3狙击步枪,美国,枪械与单兵,狙击枪
2801,M24式7.62mm狙击步枪,美国,枪械与单兵,狙击枪
2802,巴雷特M90狙击步枪,美国,枪械与单兵,狙击枪
2803,罗巴QR2-F狙击步枪,美国,枪械与单兵,狙击枪
2804,M25狙击步枪,美国,枪械与单兵,狙击枪
2805,CZ75手枪,捷克,枪械与单兵,手枪
2806,HS 2000手枪,美国,枪械与单兵,手枪
2807,巴拉贝鲁P’08加长型手枪,德国,枪械与单兵,手枪
2808,弥勒 0.38英寸特警用转轮手枪,日本,枪械与单兵,手枪
2809,雅利金“格拉奇”6P35手枪,苏/俄,枪械与单兵,手枪
2810,CZ 52手枪,捷克,枪械与单兵,手枪
2811,CZ 100/101手枪,捷克,枪械与单兵,手枪
2812,Lahti L-35 手枪,芬兰,枪械与单兵,手枪
2813,CZ83手枪,捷克,枪械与单兵,手枪
2814,勃朗宁(大威力)1935型手枪,美国,枪械与单兵,手枪
2815,HS 95手枪,克罗地亚,枪械与单兵,手枪
2816,64式手枪,中国,枪械与单兵,手枪
2817,亚米纽斯M10转轮手枪,德国,枪械与单兵,手枪
2818,陶鲁斯76转轮手枪,巴西,枪械与单兵,手枪
2819,俄罗斯M1895纳甘转轮手枪,苏/俄,枪械与单兵,手枪
2820,Liama Comanche转轮手枪,西班牙,枪械与单兵,手枪
2821,魏劳奇 HW-9转轮手枪,德国,枪械与单兵,手枪
2822,曼纽因MR73转轮手枪,法国,枪械与单兵,手枪
2823,史密斯-韦森625转轮手枪,美国,枪械与单兵,手枪
2824,阿斯特拉357警用转轮手枪,西班牙,枪械与单兵,手枪
2825,67式手枪,中国,枪械与单兵,手枪
2826,MAB PA-15手枪,法国,枪械与单兵,手枪
2827,阿斯特拉-卡迪克斯转轮手枪,西班牙,枪械与单兵,手枪
2828,阿斯特拉M960转轮手枪,西班牙,枪械与单兵,手枪
2829,瓦尔特P99手枪,德国,枪械与单兵,手枪
2830,史密斯-韦森军警用转轮手枪(M 10),美国,枪械与单兵,手枪
2831,史密斯-韦森M29/629转轮手枪,美国,枪械与单兵,手枪
2832,瓦尔特P88手枪,德国,枪械与单兵,手枪
2833,瓦尔特P38手枪,德国,枪械与单兵,手枪
2834,史密斯-韦森M 1917转轮手枪,美国,枪械与单兵,手枪
2835,史密斯-韦森手动退壳型转轮手枪,美国,枪械与单兵,手枪
2836,瓦尔特PP手枪,德国,枪械与单兵,手枪
2837,M60转轮手枪,美国,枪械与单兵,手枪
2838,坦福利奥TA90手枪,意大利,枪械与单兵,手枪
2839,瓦尔特PPK手枪,德国,枪械与单兵,手枪
2840,史密斯-韦森新世纪手动退壳型转轮手枪,美国,枪械与单兵,手枪
2841,绍尔M38H手枪,德国,枪械与单兵,手枪
2842,P-64手枪,波兰,枪械与单兵,手枪
2843,伯莱塔M84手枪,意大利,枪械与单兵,手枪
2844,伯菜塔M92手枪,意大利,枪械与单兵,手枪
2845,史密斯-韦森安全无击锤转轮手枪,美国,枪械与单兵,手枪
2846,PSM手枪,苏/俄,枪械与单兵,手枪
2847,伯莱塔M951手枪,意大利,枪械与单兵,手枪
2848,杰里科941式手枪,以色列,枪械与单兵,手枪
2849,拉德姆手枪,波兰,枪械与单兵,手枪
2850,马卡洛夫手枪,苏/俄,枪械与单兵,手枪
2851,波兰P-83式手枪,波兰,枪械与单兵,手枪
2852,瓦尔特P5手枪,德国,枪械与单兵,手枪
2853,伯莱塔1934型手枪,意大利,枪械与单兵,手枪
2854,Ruby Extra转轮手枪,西班牙,枪械与单兵,手枪
2855,伯莱塔P×4“风暴”手枪,意大利,枪械与单兵,手枪
2856,柯尔特M1917转轮手枪,美国,枪械与单兵,手枪
2857,0.38英寸Mark IV型转轮手枪,英国,枪械与单兵,手枪
2858,PSS微声手枪,苏/俄,枪械与单兵,手枪
2859,柯尔特特种侦探转轮手枪,美国,枪械与单兵,手枪
2860,柯尔特眼镜蛇转轮手枪,美国,枪械与单兵,手枪
2861,伯莱塔M93R手枪,意大利,枪械与单兵,手枪
2862,伯纳德利P-018,意大利,枪械与单兵,手枪
2863,0.32英寸袖珍型无击锤转轮手枪,英国,枪械与单兵,手枪
2864,SPP-1手枪,苏/俄,枪械与单兵,手枪
2865,FN5-7手枪,比利时,枪械与单兵,手枪
2866,柯尔特蟒蛇转轮手枪,美国,枪械与单兵,手枪
2867,柯尔特新制式转轮手枪,美国,枪械与单兵,手枪
2868,韦伯利0.455英寸WG型转轮手枪,英国,枪械与单兵,手枪
2869,斗牛犬转轮手枪,英国,枪械与单兵,手枪
2870,柯尔特新型海军/陆军/海军陆战队转轮手枪,美国,枪械与单兵,手枪
2871,解放者型手枪,美国,枪械与单兵,手枪
2872,恩菲尔德0.38英寸Mk I型转轮手枪,英国,枪械与单兵,手枪
2873,韦伯利Mark III型转轮手枪,英国,枪械与单兵,手枪
2874,韦伯利0.455英寸MarkIV转轮手枪,英国,枪械与单兵,手枪
2875,Charter Arms探险者转轮手枪,美国,枪械与单兵,手枪
2876,韦伯利0.455英寸MarkⅣ／v转轮手枪,英国,枪械与单兵,手枪
2877,勃朗宁M1910手枪,比利时,枪械与单兵,手枪
2878,柯尔特Mark IV 70／80系列手枪,美国,枪械与单兵,手枪
2879,勃朗宁BDA380手枪,比利时,枪械与单兵,手枪
2880,赫克勒-科赫HK4手枪,德国,枪械与单兵,手枪
2881,鲁格P-85型手枪,美国,枪械与单兵,手枪
2882,Coonan手枪,美国,枪械与单兵,手枪
2883,萨维奇手枪,美国,枪械与单兵,手枪
2884,赫克勒-科赫USP手枪,德国,枪械与单兵,手枪
2885,赫克勒-科赫P9／P9S手枪,德国,枪械与单兵,手枪
2886,赫克勒-科赫P7手枪,德国,枪械与单兵,手枪
2887,柯尔特军官用ACP／ACP LW手枪,美国,枪械与单兵,手枪
2888,鲁格标准型手枪,美国,枪械与单兵,手枪
2889,柯尔特政府型0.380英寸手枪,美国,枪械与单兵,手枪
2890,赫克勒-科赫SOCOM Mark 23M0d 0手枪,德国,枪械与单兵,手枪
2891,勃朗宁M1903手枪,比利时,枪械与单兵,手枪
2892,毛瑟M1912军用手枪,德国,枪械与单兵,手枪
2893,毛瑟1910/1934手枪,德国,枪械与单兵,手枪
2894,史密斯-韦森第3代0.45英寸手枪,美国,枪械与单兵,手枪
2895,史密斯-韦森M39手枪,美国,枪械与单兵,手枪
2896,斯太尔M1912手枪,奥地利,枪械与单兵,手枪
2897,阿斯特拉A-75手枪,西班牙,枪械与单兵,手枪
2898,斯太尔SPP手枪,德国,枪械与单兵,手枪
2899,柯尔特双鹰手枪,美国,枪械与单兵,手枪
2900,毛瑟HSC手枪,德国,枪械与单兵,手枪
2901,Fort 14 TP手枪,乌克兰,枪械与单兵,手枪
2902,格洛克26型手枪,奥地利,枪械与单兵,手枪
2903,维尔德Markl型手枪,英国,枪械与单兵,手枪
2904,史密斯-韦森西格玛手枪,美国,枪械与单兵,手枪
2905,格洛克17型手枪,奥地利,枪械与单兵,手枪
2906,斯太尔M/S系列手枪,奥地利,枪械与单兵,手枪
2907,AMT Hardballer手枪,美国,枪械与单兵,手枪
2908,巴拉贝鲁姆P’08手枪,德国,枪械与单兵,手枪
2909,史密斯-韦森第3代9mm手枪,美国,枪械与单兵,手枪
2910,史密斯-韦森M59手枪,美国,枪械与单兵,手枪
2911,巴利斯特·莫利纳手枪,阿根廷,枪械与单兵,手枪
2912,斯普林菲尔德P9手枪,美国,枪械与单兵,手枪
2913,欧文•约翰逊安全自动转轮手枪,美国,枪械与单兵,手枪
2914,西格P210手枪,瑞士,枪械与单兵,手枪
2915,阿斯特拉A-100手枪,西班牙,枪械与单兵,手枪
2916,西格-绍尔P228手枪,瑞士,枪械与单兵,手枪
2917,IMBLE M973/MDl手枪,巴西,枪械与单兵,手枪
2918,星式M40费尔斯塔手枪,西班牙,枪械与单兵,手枪
2919,鲁格GP100转轮手枪,美国,枪械与单兵,手枪
2920,星式末格斯塔手枪,西班牙,枪械与单兵,手枪
2921,勃朗宁大威力Mark2手枪,比利时,枪械与单兵,手枪
2922,鲁格安全6型转轮手枪,美国,枪械与单兵,手枪
2923,鲁格警用6型转轮手枪,美国,枪械与单兵,手枪
2924,西格-绍尔P229手枪,瑞士,枪械与单兵,手枪
2925,史密斯-韦森M36官员专用转轮手枪,美国,枪械与单兵,手枪
2926,西格P226手枪,瑞士,枪械与单兵,手枪
2927,史密斯-韦森586/686转轮手枪,美国,枪械与单兵,手枪
2928,陶鲁斯PT52S手枪,巴西,枪械与单兵,手枪
2929,西格P225手枪,瑞士,枪械与单兵,手枪
2930,史密斯-韦森0.38/200英国制式转轮手枪,美国,枪械与单兵,手枪
2931,帕拉军械公司P14手枪,加拿大,枪械与单兵,手枪
2932,M70式手枪,塞尔维亚,枪械与单兵,手枪
2933,西格P220手枪,瑞士,枪械与单兵,手枪
2934,西格-绍尔P239手枪,瑞士,枪械与单兵,手枪
2935,司芬尼克斯AT2000／3000手枪,瑞士,枪械与单兵,手枪
2936,阿尔克思94／98DA手枪,保加利亚,枪械与单兵,手枪
2937,西格P232手枪,瑞士,枪械与单兵,手枪
2938,西格P230手枪,瑞士,枪械与单兵,手枪
2939,维克托SP手枪,南非,枪械与单兵,手枪
2940,柯尔特袖珍型转轮手枪,美国,枪械与单兵,手枪
2941,普金斯-阿伦0.38英寸安全警用转轮手枪,美国,枪械与单兵,手枪
2942,Kirrikale手枪,土耳其,枪械与单兵,手枪
2943,柯尔特巨蟒转轮手枪,美国,枪械与单兵,手枪
2944,大宇DP51手枪,韩国,枪械与单兵,手枪
2945,阿斯特拉400手枪,西班牙,枪械与单兵,手枪
2946,哈林顿-理查德森0.38英寸自动退壳型转轮手枪,美国,枪械与单兵,手枪
2947,丹•韦森转轮手枪,美国,枪械与单兵,手枪
2948,阿斯特拉300手枪,西班牙,枪械与单兵,手枪
2949,伯莱塔9毫米×19毫米93R型可选射击模式手枪,意大利,枪械与单兵,手枪
2950,9毫米FN BDA9手枪,比利时,枪械与单兵,手枪
2951,FN赫斯塔尔5~7毫米五七手枪 ,比利时,枪械与单兵,手枪
2952,MDI 0.45手枪 ,巴西,枪械与单兵,手枪
2953,FN9毫米大威力手枪,阿根廷,枪械与单兵,手枪
2954,毛瑟C96手枪,德国,枪械与单兵,手枪
2955,阿斯特拉A-50手枪,西班牙,枪械与单兵,手枪
2956,92FS型自动装填手枪,意大利,枪械与单兵,手枪
2957,0.22RF85型匕首手枪,中国,枪械与单兵,手枪
2958,9毫米改进型马卡洛夫手枪PMM,苏/俄,枪械与单兵,手枪
2959,伯莱塔9毫米×19毫米92SB型手枪,意大利,枪械与单兵,手枪
2960,施泰尔特种用途手枪（SPP）,奥地利,枪械与单兵,手枪
2961,CZ100手枪,捷克,枪械与单兵,手枪
2962,HS95手枪 ,克罗地亚,枪械与单兵,手枪
2963,帕拉军工P14-45 0.45手枪,加拿大,枪械与单兵,手枪
2964,9毫米K5手枪,韩国,枪械与单兵,手枪
2965,9毫米HS2000手枪,克罗地亚,枪械与单兵,手枪
2966,“凡安得”P-83手枪,波兰,枪械与单兵,手枪
2967,PA15 9毫米手枪,法国,枪械与单兵,手枪
2968,特种作战司令部（SOCOM）手枪,德国,枪械与单兵,手枪
2969,9毫米星式30M和30PK手枪,西班牙,枪械与单兵,手枪
2970,MTE224V和MTE224VA手枪,瑞士,枪械与单兵,手枪
2971,7.62毫米PSS微声手枪,苏/俄,枪械与单兵,手枪
2972,CZ97B手枪,捷克,枪械与单兵,手枪
2973,P117.62毫米水下手枪 ,德国,枪械与单兵,手枪
2974,7.65毫米PP型手枪,德国,枪械与单兵,手枪
2975,联邦调查局专用武器和战术手枪,美国,枪械与单兵,手枪
2976,9毫米×19毫米乌其手枪,以色列,枪械与单兵,手枪
2977,9毫米P5型袖珍手枪 ,德国,枪械与单兵,手枪
2978,EBP9毫米EP7手枪 ,希腊,枪械与单兵,手枪
2979,杰里科(Jericho)手枪 ,以色列,枪械与单兵,手枪
2980,0.45英寸手枪,美国,枪械与单兵,手枪
2981,0.45英寸1911A1型自动手枪,美国,枪械与单兵,手枪
2982,9毫米P7M8和P＆M13手枪,德国,枪械与单兵,手枪
2983,9毫米P1型手枪 ,德国,枪械与单兵,手枪
2984,M9手枪,美国,枪械与单兵,手枪
2985,80式冲锋手枪,中国,枪械与单兵,手枪
2986,阿斯特拉M900手枪,西班牙,枪械与单兵,手枪
2987,勃朗宁大威力手枪,美国,枪械与单兵,手枪
2988,MP-443乌鸦式手枪 ,俄罗斯,枪械与单兵,手枪
2989,54式手枪,中国,枪械与单兵,手枪
2990,QSZ92式半自动手枪,中国,枪械与单兵,手枪
2991,MP412 REX左轮手枪,俄罗斯,枪械与单兵,手枪
2992,Glock 17 手枪,奥地利,枪械与单兵,手枪
2993,人民手枪,德国,枪械与单兵,手枪
2994,日本“南部”14式8毫米手枪,日本,枪械与单兵,手枪
2995,M1879帝国左轮手枪,德国,枪械与单兵,手枪
2996,勃朗宁M2H B 0.50英寸机枪,美国,枪械与单兵,机枪
2997,赫克勒-科赫HK13机枪,德国,枪械与单兵,机枪
2998,MG34通用型机枪,德国,枪械与单兵,机枪
2999,MG42机枪,德国,枪械与单兵,机枪
3000,日本99式机枪,日本,枪械与单兵,机枪
3001,布雷达30型轻机枪,意大利,枪械与单兵,机枪
3002,赫克勒-科赫MG4机枪,德国,枪械与单兵,机枪
3003,INSAS机枪,印度,枪械与单兵,机枪
3004,M249班用自动武器,美国,枪械与单兵,机枪
3005,布雷达37型重机枪,意大利,枪械与单兵,机枪
3006,内格夫轻机枪,以色列,枪械与单兵,机枪
3007,赫克勒-科赫HK21机枪,德国,枪械与单兵,机枪
3008,阿尔蒂马克斯机枪,新加坡,枪械与单兵,机枪
3009,RPK机枪,苏/俄,枪械与单兵,机枪
3010,RPK-74机枪,苏/俄,枪械与单兵,机枪
3011,马克沁MG08机枪,德国,枪械与单兵,机枪
3012,大宇K3机枪,韩国,枪械与单兵,机枪
3013,马克沁08/15机枪,德国,枪械与单兵,机枪
3014,杰格佳廖夫DP机枪,苏/俄,枪械与单兵,机枪
3015,查特勒尔特M1924/29机枪,法国,枪械与单兵,机枪
3016,维克托SS77枪机,南非,枪械与单兵,机枪
3017,杰格佳廖夫DPM机枪,苏/俄,枪械与单兵,机枪
3018,门多萨RM2机枪,墨西哥,枪械与单兵,机枪
3019,ClS 0.50英寸机枪,新加坡,枪械与单兵,机枪
3020,RP-46机枪,苏/俄,枪械与单兵,机枪
3021,L86A1/L86A2轻型支援武器,英国,枪械与单兵,机枪
3022,维克斯机枪,英国,枪械与单兵,机枪
3023,杰格佳廖夫RPD机枪,苏/俄,枪械与单兵,机枪
3024,NSV机枪,苏/俄,枪械与单兵,机枪
3025,DShK机枪,苏/俄,枪械与单兵,机枪
3026,杰格佳廖夫DT/DTM机枪,苏/俄,枪械与单兵,机枪
3027,赛特迈阿梅利机枪,西班牙,枪械与单兵,机枪
3028,勃朗宁M 1917机枪,美国,枪械与单兵,机枪
3029,马克沁1910机枪,苏/俄,枪械与单兵,机枪
3030,PK机枪,苏/俄,枪械与单兵,机枪
3031,布伦机枪,英国,枪械与单兵,机枪
3032,Ultimax 100轻机枪,新加坡,枪械与单兵,机枪
3033,休斯EX34链式机枪,美国,枪械与单兵,机枪
3034,米尼冈M134机枪,美国,枪械与单兵,机枪
3035,勃朗宁M1919A4机枪,美国,枪械与单兵,机枪
3036,M60／M60E1机枪,美国,枪械与单兵,机枪
3037,M60E3机枪,美国,枪械与单兵,机枪
3038,勃朗宁M2H B 0.50英寸机枪,美国,枪械与单兵,机枪
3039,GAU19/A航空机枪,美国,枪械与单兵,机枪
3040,M68 (Rachot)机枪,捷克,枪械与单兵,机枪
3041,佳留诺夫SG43机枪,苏/俄,枪械与单兵,机枪
3042,勃朗宁M1919A6机枪,美国,枪械与单兵,机枪
3043,M240B和M240G机枪,美国,枪械与单兵,机枪
3044,三十节7.92毫米重机枪,中国,枪械与单兵,机枪
3045,日本62式7.62毫米通用机枪,日本,枪械与单兵,机枪
3046,ZB37式重机枪,捷克,枪械与单兵,机枪
3047,1967年式7.62毫米通用机枪,中国,枪械与单兵,机枪
3048,1975年式14.5毫米高射机枪,中国,枪械与单兵,机枪
3049,Pecheneg通用机枪,苏/俄,枪械与单兵,机枪
3050,Ultimax 100轻机枪 ,新加坡,枪械与单兵,机枪
3051,ZB26式轻机枪,捷克,枪械与单兵,机枪
3052,中国1981年式7.62毫米轻机枪,中国,枪械与单兵,机枪
3053,QJY88通用机枪,中国,枪械与单兵,机枪
3054,日本大正11年式6.5毫米轻机枪 ,日本,枪械与单兵,机枪
3055,LSAT机枪,美国,枪械与单兵,机枪
3056,日本96式6.5毫米轻机枪 ,日本,枪械与单兵,机枪
3057,雷明顿M870P霰弹枪,美国,枪械与单兵,霰弹枪
3058,伯奈利M4超级90霰弹枪,意大利,枪械与单兵,霰弹枪
3059,C-MORE轻型霰弹枪系统,美国,枪械与单兵,霰弹枪
3060,莫斯伯格M9200A1式霰弹枪,美国,枪械与单兵,霰弹枪
3061,温彻斯特防卫者1300式霰弹枪,美国,枪械与单兵,霰弹枪
3062,Protecta转轮式霰弹枪,南非,枪械与单兵,霰弹枪
3063,弗兰基PA7、PA8E、PA8I式霰弹枪,意大利,枪械与单兵,霰弹枪
3064,FN警用霰弹枪,比利时,枪械与单兵,霰弹枪
3065,伯奈利M1战术／战术M霰弹枪,意大利,枪械与单兵,霰弹枪
3066,伯奈利M3可变式／M3T霰弹枪,意大利,枪械与单兵,霰弹枪
3067,Ceiner Ultimate,美国,枪械与单兵,霰弹枪
3068,尼奥斯戴德霰弹枪,南非,枪械与单兵,霰弹枪
3069,弗兰基SPAS12式霰弹枪,意大利,枪械与单兵,霰弹枪
3070,saiga-12 霰弹枪,苏/俄,枪械与单兵,霰弹枪
3071,北方工业98式霰弹枪,中国,枪械与单兵,霰弹枪
3072,KS-23、KS-23M霰弹枪,苏/俄,枪械与单兵,霰弹枪
3073,弗兰基SPAS15式霰弹枪,意大利,枪械与单兵,霰弹枪
3074,97式霰弹枪(HAWK-12),中国,枪械与单兵,霰弹枪
3075,SAlGA-410霰弹枪,苏/俄,枪械与单兵,霰弹枪
3076,温彻斯特M1887霰弹枪,美国,枪械与单兵,霰弹枪
3077,雷明登11-87霰弹枪,美国,枪械与单兵,霰弹枪
3078,97式霰弹枪(HAWK-12),中国,枪械与单兵,霰弹枪
3079,Kel-Tec KSG霰弹枪,美国,枪械与单兵,霰弹枪
3080,KS-23/KS-23M“特种卡宾枪,苏/俄,枪械与单兵,霰弹枪
3081,97式霰弹枪(HAWK-12) 警用型号,中国,枪械与单兵,霰弹枪
3082,USAS12号自动霰弹枪,韩国,枪械与单兵,霰弹枪
3083,51式90毫米火箭筒,中国,枪械与单兵,火箭筒
3084,SMAW-D83mm火箭筒,美国,枪械与单兵,火箭筒
3085,79式70毫米微型反坦克火箭 ,中国,枪械与单兵,火箭筒
3086,PF98式120毫米反坦克火箭,中国,枪械与单兵,火箭筒
3087,AT4反坦克火箭筒,瑞典,枪械与单兵,火箭筒
3088,69式40毫米火箭筒,中国,枪械与单兵,火箭筒
3089,“标枪”反坦克火箭筒,英国,枪械与单兵,火箭筒
3090,RPG-7火箭筒,苏/俄,枪械与单兵,火箭筒
3091,56式40毫米火箭筒,中国,枪械与单兵,火箭筒
3092,70式62毫米反坦克火箭,中国,枪械与单兵,火箭筒
3093,PF89式80毫米反坦克火箭,中国,枪械与单兵,火箭筒
3094,PF97式93毫米云爆火箭,中国,枪械与单兵,火箭筒
3095,苏联RPG-29式105毫米火箭筒,苏/俄,枪械与单兵,火箭筒
3096,“丘辟特”ACL-300式70毫米火箭筒,法国,枪械与单兵,火箭筒
3097,苏联RPG-18式64毫米火箭筒,苏/俄,枪械与单兵,火箭筒
3098,美国“巴祖卡”火箭筒,美国,枪械与单兵,火箭筒
3099,南斯拉夫M79式90毫米火箭筒,前南斯拉夫,枪械与单兵,火箭筒
3100,苏联RPO-A式93毫米火箭筒,苏/俄,枪械与单兵,火箭筒
3101,FT5式92毫米火箭筒,南非,枪械与单兵,火箭筒
3102,C-90-C式90毫米火箭筒,西班牙,枪械与单兵,火箭筒
3103,苏联RPG-2式40毫米火箭筒,苏/俄,枪械与单兵,火箭筒
3104,“黄蜂”58式70毫米火箭筒,法国,枪械与单兵,火箭筒
3105,苏联RPG-26式72.5毫米火箭筒,苏/俄,枪械与单兵,火箭筒
3106,南斯拉夫M57式44毫米火箭筒,前南斯拉夫,枪械与单兵,火箭筒
3107,B-300式82毫米火箭筒,以色列,枪械与单兵,火箭筒
3108,“卡尔•古斯塔夫”M2式84毫米火箭筒,瑞典,枪械与单兵,火箭筒
3109,“弗格里”80毫米火箭筒,意大利,枪械与单兵,火箭筒
3110,“卡尔•古斯塔夫”M3式84毫米火箭筒,瑞典,枪械与单兵,火箭筒
3111,南斯拉夫RBR-M80式64毫米火箭筒,前南斯拉夫,枪械与单兵,火箭筒
3112,“劳”80式94毫米火箭筒,英国,枪械与单兵,火箭筒
3113,40毫米3管火箭筒,罗马尼亚,枪械与单兵,火箭筒
3114,“长矛”44毫米火箭筒,德国,枪械与单兵,火箭筒
3115,M202式66毫米4管火箭筒,美国,枪械与单兵,火箭筒
3116,“前哨”81毫米火箭筒,以色列,枪械与单兵,火箭筒
3117,“拳头弹”火箭筒,德国,枪械与单兵,火箭筒
3118,“铁拳”3式60毫米火箭筒,德国,枪械与单兵,火箭筒
3119,捷克RPG-75式68毫米火箭筒 ,前捷克斯洛伐克,枪械与单兵,火箭筒
3120,比利时RL-83式83毫米火箭筒 ,比利时,枪械与单兵,火箭筒
3121,M72式66毫米火箭筒 ,美国,枪械与单兵,火箭筒
3122,法国LRAC式89毫米火箭筒,法国,枪械与单兵,火箭筒
3123,M20式88.9毫米火箭筒,美国,枪械与单兵,火箭筒
3124,法国“阿帕杰克斯”112毫米智能火箭筒,英国,枪械与单兵,火箭筒
3125,法国阿皮拉斯112mm火箭筒,法国,枪械与单兵,火箭筒
3126,M65式88.9毫米火箭筒 ,西班牙,枪械与单兵,火箭筒
3127,法国ACL-APX式80毫米火箭筒,法国,枪械与单兵,火箭筒
3128,HK69A1式40毫米榴弹发射器,德国,枪械与单兵,榴弹发射器
3129,40毫米齐射榴弹发射器,德国,枪械与单兵,榴弹发射器
3130,AGL40 40毫米榴弹发射器,西班牙,枪械与单兵,榴弹发射器
3131,M320榴弹发射器,美国,枪械与单兵,榴弹发射器
3132,GP-15式40毫米榴弹发射器,苏/俄,枪械与单兵,榴弹发射器
3133,XM174式40毫米榴弹发射器,美国,枪械与单兵,榴弹发射器
3134,M203式40毫米榴弹发射器,美国,枪械与单兵,榴弹发射器
3135,QLZ87式35毫米自动榴弹发射器,中国,枪械与单兵,榴弹发射器
3136,MM-1式37毫米榴弹发射器,美国,枪械与单兵,榴弹发射器
3137,HK79式40毫米榴弹发射器,德国,枪械与单兵,榴弹发射器
3138,Mk19-3式40毫米榴弹发射器,美国,枪械与单兵,榴弹发射器
3139,AGS-17式30毫米榴弹发射器,苏/俄,枪械与单兵,榴弹发射器
3140,南非MGL40毫米榴弹发射器,南非,枪械与单兵,榴弹发射器
3141,美国L6式40毫米榴弹发射器,美国,枪械与单兵,榴弹发射器
3142,GLF-90 多联榴弹发射器 ,意大利,枪械与单兵,榴弹发射器
3143,美国M79式40毫米榴弹发射器,美国,枪械与单兵,榴弹发射器
3144,英国“希尔顿” 多用途榴弹发射器,英国,枪械与单兵,榴弹发射器
3145,无线电遥控起爆器,英国,枪械与单兵,附件
3146,LASH头戴式耳机,美国,枪械与单兵,附件
3147,LITE头戴式耳机,美国,枪械与单兵,附件
3148,浸身服,英国,枪械与单兵,附件
3149,PLCE背包,英国,枪械与单兵,附件
3150,隐藏通信器,美国,枪械与单兵,附件
3151,BCB极地手套,英国,枪械与单兵,附件
3152,BCBG格斗手套,英国,枪械与单兵,附件
3153,Diveguard MK2遇险救助系统,以色列,枪械与单兵,附件
3154,巡逻包,英国,枪械与单兵,附件
3155,“幻影”系列发送器,美国,枪械与单兵,附件
3156,NP宇航公司伞兵头盔,英国,枪械与单兵,附件
3157,CQC公司90式迷彩步兵背包,英国,枪械与单兵,附件
3158,PTAC安全终端抗震数据终端,英国,枪械与单兵,附件
3159,A-Ⅲ型大空降背包,美国,枪械与单兵,附件
3160,“精英”2000XC,英国,枪械与单兵,附件
3161,Alinco DJ-X10扫描接收机,英国,枪械与单兵,附件
3162,蛙鞋,美国,枪械与单兵,附件
3163,低空降落伞组,英国,枪械与单兵,附件
